gene_id	Ro	Le	Fl
Aco006223	10.1121	2.65654	2.74918
Aco006224	0.6142	0.41883000000000004	0.392302
Aco006225	37.4724	27.8703	21.7107
Aco006226	26.2936	23.6451	21.8796
Aco006227	12.5322	15.1892	16.6185
Aco006228	34.6046	233.113	221.99400000000003
Aco006229	18.7698	40.6866	34.9161
Aco006230	1.6334600000000001	1.39028	2.6326400000000003
Aco006231	1.29872	3.38021	2.8213
Aco006232	7.51543	6.34171	7.03109
Aco006233	0.0	0.0	0.0
Aco006234	19.4848	28.0073	21.5984
Aco006235	63.3705	59.0853	48.3668
Aco006236	9.82892	3.09829	2.97552
Aco006237	8.49606	2.97629	3.4962699999999995
Aco006238	0.21660500000000002	1.67163	2.46758
Aco006239	4.35152	15.1337	11.5626
Aco006240	7.115239999999999	5.46634	5.86972
Aco006241	9.26896	8.26953	9.04243
Aco006242	30.1135	0.0803485	0.24656199999999998
Aco006243	0.6804560000000001	1.16001	0.5739489999999999
Aco006244	16.8065	22.5543	21.9476
Aco006245	0.040887400000000004	1.9182299999999999	1.7414900000000002
Aco006247	1.9559400000000002	0.810956	0.549772
Aco006248	0.203928	0.0	0.0
Aco006249	32.2825	5.181109999999999	5.12219
Aco006250	2.0752099999999998	4.06856	4.00378
Aco006251	10.1907	15.7918	19.8461
Aco006252	8.00778	8.34575	15.5477
Aco006253	0.5787329999999999	1.77436	1.80951
Aco006254	3.2389	0.0	0.0
Aco006255	8.206660000000001	10.2729	11.722000000000001
Aco006256	0.0	15.048	19.1082
Aco006257	9.411389999999999	1.94183	1.82663
Aco006258	28.9272	12.4956	13.915999999999999
Aco006262	0.0	2.34994	1.96602
Aco006263	12.3556	33.0709	31.7647
Aco006264	43.2286	34.8765	38.3198
Aco006265	62.7365	203.605	187.22299999999998
Aco006266	39.3463	352.98	331.086
Aco006267	0.30502199999999996	0.206844	0.11371700000000001
Aco006268	0.44823500000000005	2.44862	3.95424
Aco006269	0.460959	1.50205	1.78299
Aco006270	25.1645	19.4203	18.6733
Aco006271	22.4904	31.7928	28.5284
Aco006272	53.5126	53.0328	44.0994
Aco006273	85.6297	60.7185	48.6859
Aco006274	9.38223	11.8841	12.4862
Aco006275	33.3813	39.699	37.5578
Aco006276	20.6339	30.9089	35.6549
Aco006277	2.1303	1.71777	1.1920600000000001
Aco006278	9.1975	2.0842	2.63945
Aco006279	1.43372	1.97565	2.4323799999999998
Aco006280	31.5978	19.049	16.7037
Aco006281	56.6133	127.241	114.73100000000001
Aco006282	2.74591	63.6957	63.4777
Aco006283	36.4232	45.2802	43.2816
Aco006284	17.1367	16.7829	19.9266
Aco006285	0.24541300000000002	0.9711420000000001	2.56787
Aco006286	0.384779	0.0	1.17288
Aco006287	2.16243	3.20531	15.2777
Aco006288	3.7258699999999996	10.9405	9.655669999999999
Aco006289	59.3655	107.26299999999999	98.2293
Aco006290	27.4285	48.481	47.4479
Aco006291	119.978	266.426	251.705
Aco006292	8.332289999999999	0.7966449999999999	0.8375020000000001
Aco006293	6.02474	1.40246	1.0535
Aco006294	45.2591	36.357	34.2818
Aco006295	47.6144	50.9734	48.6756
Aco006296	27.9359	22.8334	24.3562
Aco006297	5.4649	18.3141	14.2637
Aco006298	0.0	0.0	0.0
Aco006299	0.0	0.0	0.0
Aco006300	1.42846	0.395173	0.15829300000000002
Aco006301	35.4299	42.9685	45.5239
Aco006302	31.3724	11.9496	10.8391
Aco006303	24.5734	21.6474	20.3523
Aco006304	1.20455	13.6663	17.4264
Aco006305	10.4408	4.32643	4.1489
Aco006306	42.617	231.59400000000002	224.855
Aco006308	24.2847	24.3049	22.4258
Aco006309	15.4837	15.2282	16.3575
Aco006310	11.4904	5.97539	7.56106
Aco006311	24.2789	15.4648	16.1642
Aco006312	1.20286	1.21143	0.33139
Aco006313	27.7075	12.4559	12.497
Aco006314	9.56822	8.80293	7.5518600000000005
Aco006315	1.41078	0.9729909999999999	1.7732900000000003
Aco006316	2.3395099999999998	0.129376	0.140307
Aco006317	25.926	30.8201	33.3179
Aco006318	0.0675759	0.784079	0.465574
Aco006319	36.2246	51.8556	50.7721
Aco006320	69.7858	30.6589	28.8774
Aco006321	328.04400000000004	209.083	189.83
Aco006322	48.0618	65.5995	64.2843
Aco006323	118.64299999999999	90.8459	79.6739
Aco006324	126.277	177.71200000000002	147.428
Aco006325	24.958000000000002	26.2998	27.5
Aco006326	15.0089	6.00882	4.84949
Aco006327	0.375247	3.20532	3.6427300000000002
Aco006328	22.7802	18.742	18.8547
Aco006329	74.9483	92.947	92.6987
Aco006330	13.6307	17.0956	16.4479
Aco006331	0.401289	19.3553	22.5715
Aco006332	5.05892	64.9949	56.8887
Aco006333	5.9175699999999996	0.0	0.0
Aco006334	18.6797	15.2908	15.4043
Aco006335	9.06895	8.357569999999999	6.12979
Aco006336	308.124	232.055	217.641
Aco006337	0.669191	0.781461	0.0
